feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	H2O2_50µM
Cytoplasm_AreaShape_Zernike_6_0	0.0027485140244315476	0.00019505530254424874	0.0034288318215977137	-0.003428831821597697
Cytoplasm_AreaShape_Zernike_6_2	0.0029664260661620423	0.00020117714865313638	0.010717505480079994	-0.01071750548007994
Cytoplasm_AreaShape_Zernike_6_4	0.0008342227080980757	0.00010699651671115107	0.0010101989309515666	-0.0010101989309515616
Cytoplasm_AreaShape_Zernike_6_6	0.0007171419002166557	9.647962381601823e-05	0.009179211016147625	-0.009179211016147578
Cytoplasm_AreaShape_Zernike_7_1	0.007038777189578571	0.0003139197473099799	0.00904143370903351	-0.009041433709033465
Cytoplasm_AreaShape_Zernike_7_3	0.0016864881303760848	0.00014805960500229235	0.01243876373591702	-0.01243876373591696
Cytoplasm_AreaShape_Zernike_7_5	0.0006623408228496608	8.165074246607719e-05	0.015057532237644916	-0.015057532237644842
Cytoplasm_AreaShape_Zernike_7_7	0.00033466064671616724	6.78260152989513e-05	0.0026478230868750207	-0.0026478230868750077
Cytoplasm_AreaShape_Zernike_8_0	0.0024147328825633307	0.0001806524276356277	0.01130785881775993	-0.011307858817759872
Cytoplasm_AreaShape_Zernike_8_2	0.0033226687978871183	0.00021286568808116707	0.010350398564325002	-0.01035039856432495
Cytoplasm_AreaShape_Zernike_8_4	0.0006632791999523491	9.344651403799579e-05	0.006532715318358579	-0.006532715318358546
Cytoplasm_AreaShape_Zernike_8_6	0.0003428528853702817	6.815216616031705e-05	0.000543803899479712	-0.0005438038994797093
Cytoplasm_AreaShape_Zernike_8_8	0.00040908515516668853	7.197648998319156e-05	0.0075986727640968265	-0.007598672764096788
Cytoplasm_AreaShape_Zernike_9_1	0.003288214650744248	0.00021087139031234062	0.013808639780302907	-0.013808639780302837
Cytoplasm_AreaShape_Zernike_9_3	0.0017942964106220094	0.00015607301533911744	0.008788611974149875	-0.00878861197414983
Cytoplasm_AreaShape_Zernike_9_5	0.0003350623167441835	3.60602712966348e-05	0.0160559929303657	-0.01605599293036562
Cytoplasm_AreaShape_Zernike_9_7	0.0004401464025745039	5.467668708318691e-05	0.015899864407985055	-0.015899864407984975
Cytoplasm_AreaShape_Zernike_9_9	0.00021131833771337316	3.8781589075584956e-05	0.010841498384445805	-0.010841498384445751
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.001479079051023735	0.00012610586858632938	-0.01829235278727595	0.01829235278727586
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.0007551627615992595	0.00010525139257475477	-0.0019195953466016316	0.0019195953466016218
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	9.642602736492645e-05	1.709973928612383e-05	-0.008733427788956267	0.008733427788956223
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.00037387438974434417	7.118714163639103e-05	-0.0029817897486795813	0.0029817897486795666
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.0015092115946560014	0.00014462806939453387	-0.006432455316459347	0.006432455316459315
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.05444053086392053	0.0009084867100798311	0.06761246414470748	-0.06761246414470715
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.05052332169076301	0.0008480120913159367	0.07691056285034703	-0.07691056285034666
Cytoplasm_Correlation_Correlation_CorrER_CorrPM	0.01223465167783444	0.0004035263274392991	0.0440373068705837	-0.044037306870583486
Cytoplasm_Correlation_Correlation_CorrER_CorrRNA	0.16568365062815382	0.00406618619020711	0.2722505587940291	-0.2722505587940277
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrMito	0.17006798531363754	0.003327507453609174	0.17579672980002428	-0.1757967298000234
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrPM	0.0067505419833008284	0.000308908811570708	0.03495059482451803	-0.03495059482451786
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrRNA	0.09563623132016463	0.0013378474686206285	0.10642966380886879	-0.10642966380886826
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM	0.007381881907581822	0.00031880874425258525	0.04316433611199653	-0.04316433611199631
Cytoplasm_Correlation_Correlation_CorrMito_CorrRNA	0.08501741015659325	0.0012024794237072325	0.10883002796367194	-0.10883002796367142
Cytoplasm_Correlation_Correlation_CorrPM_CorrRNA	0.01717584726620658	0.0005090370041515664	0.036884935734788134	-0.036884935734787946
Cytoplasm_Correlation_K_CorrDNA_CorrER	0.004737499764515429	-0.0001663460872829896	0.007148654740393168	-0.007148654740393133
Cytoplasm_Correlation_K_CorrDNA_CorrGasdermin	0.0012245542227398154	-3.878824390471202e-05	-0.014344066729701045	0.014344066729700976
Cytoplasm_Correlation_K_CorrDNA_CorrMito	0.0020925468862519336	-8.366012011098964e-05	-0.03301299736874734	0.033012997368747174
