feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Disulfiram_2.5µM
Cytoplasm_Correlation_Manders_CorrDNA_CorrPM	9.802184016005633e-05	-1.9962924373406263e-05	0.011513870566550111	-0.011513870566550018
Cytoplasm_Correlation_Manders_CorrDNA_CorrRNA	0.0005243681598988692	5.0958305581467786e-05	0.01153728479160342	-0.011537284791603326
Cytoplasm_Correlation_Manders_CorrER_CorrDNA	0.0012403574692833041	6.71235942814767e-05	-0.03880661276803878	0.03880661276803846
Cytoplasm_Correlation_Manders_CorrER_CorrGasdermin	0.002385753665924084	0.00016061205979158943	0.013388859513722134	-0.013388859513722024
Cytoplasm_Correlation_Manders_CorrER_CorrMito	0.002505479738236893	0.00016865310905665308	0.020569549955652393	-0.020569549955652223
Cytoplasm_Correlation_Manders_CorrER_CorrPM	0.00019573171323594707	-3.054757308381941e-05	0.014962422973475518	-0.014962422973475395
Cytoplasm_Correlation_Manders_CorrER_CorrRNA	0.00017256438200330404	-3.528659663463582e-05	-0.0073401237108459555	0.007340123710845896
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrDNA	0.0013457875219731186	9.131313761091446e-05	-0.03929108465858558	0.03929108465858526
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrER	0.00922301083235122	0.0002958781111168174	0.039042496672906685	-0.03904249667290636
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrMito	0.0022706993301345735	0.00015191711496422927	0.018976023948903936	-0.01897602394890378
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrPM	0.0002282713599452979	-2.7752132440598617e-05	0.01880876566056642	-0.018808765660566266
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrRNA	0.0024575815114892263	0.00013109561984881165	0.021685683262430495	-0.021685683262430314
Cytoplasm_Correlation_Manders_CorrMito_CorrDNA	0.0013526950676651106	0.0001066787899744969	-0.0382121432709701	0.038212143270969785
