feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Thapsi_10µM
Cytoplasm_AreaShape_Zernike_8_2	0.0038447683821773992	9.539751366778568e-05	0.050831831069616376	-0.05083183106961596
Cytoplasm_AreaShape_Zernike_8_4	0.0007345495043674655	1.303338898764232e-05	0.028864196918632304	-0.028864196918632068
Cytoplasm_AreaShape_Zernike_8_6	0.00012626178502550545	-3.5409442245091086e-05	-0.0013176777991776162	0.0013176777991776056
Cytoplasm_AreaShape_Zernike_8_8	0.0010544408227322055	-7.818999479753903e-05	0.04004482627258019	-0.04004482627257987
Cytoplasm_AreaShape_Zernike_9_1	0.0018468167670590008	0.00010856255449108359	0.020117009090394367	-0.020117009090394204
Cytoplasm_AreaShape_Zernike_9_3	0.0015159174669115982	8.475543778872671e-05	0.024000521740565772	-0.024000521740565578
Cytoplasm_AreaShape_Zernike_9_5	0.000613203625839942	-3.0165221869417532e-05	0.03132975822184576	-0.03132975822184551
Cytoplasm_AreaShape_Zernike_9_7	0.0005843536894608592	-4.7994248892293414e-05	0.03037434106516642	-0.03037434106516617
Cytoplasm_AreaShape_Zernike_9_9	0.0004354486564435156	-5.20555286391915e-05	0.025357325067774203	-0.025357325067773998
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	4.973664450025339e-05	-2.3757894061851456e-05	-0.0006624400663973305	0.0006624400663973251
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.007016755244836581	-0.00029738241130027255	-0.0014428132582533244	0.0014428132582533127
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.007569764599512974	-0.00029486005870699096	-0.008504515329086814	0.008504515329086745
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.004852710873521016	-0.00024126135805890332	-0.00044343914893958853	0.00044343914893958485
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.0001576862684197211	-3.865668093272589e-05	0.01482515173150446	-0.014825151731504338
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.01038771555477147	0.0002937945515681246	0.026190325200073396	-0.026190325200073184
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.00542497952459553	0.00018423695084156247	0.02992575482433693	-0.029925754824336685
Cytoplasm_Correlation_Correlation_CorrER_CorrPM	0.002001363732351935	-9.775520532419008e-05	-0.02744369409568348	0.027443694095683254
Cytoplasm_Correlation_Correlation_CorrER_CorrRNA	0.006128265008233713	0.00044318407652704355	-0.036643914813087805	0.03664391481308751
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrMito	0.017113020571166482	0.0005794862828094177	-0.06557810047834865	0.06557810047834813
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrPM	0.01428870819562067	-0.00033636022386943147	-0.049476113308718386	0.049476113308717984
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrRNA	0.017605975647718597	0.00036407435949186974	0.049713050184720706	-0.0497130501847203
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM	0.014225669345873548	-0.000362288950285534	-0.03886119353515888	0.03886119353515856
Cytoplasm_Correlation_Correlation_CorrMito_CorrRNA	0.009648439818007892	0.00022523180496302877	0.05084592430935088	-0.05084592430935046
Cytoplasm_Correlation_Correlation_CorrPM_CorrRNA	0.0031173392545950085	-0.00010542854659464293	-0.04138748244505896	0.041387482445058625
Cytoplasm_Correlation_K_CorrDNA_CorrER	0.02728273069657039	-0.0003573201069858267	-0.03357563694093266	0.03357563694093239
Cytoplasm_Correlation_K_CorrDNA_CorrGasdermin	0.0017486891377453961	2.6013403925816263e-05	-0.027949255095651396	0.027949255095651167
Cytoplasm_Correlation_K_CorrDNA_CorrMito	0.0038063966615405898	0.0001505913058523724	-0.06626008763957077	0.06626008763957023
Cytoplasm_Correlation_K_CorrDNA_CorrPM	3.759946314441098e-05	4.634009121743184e-06	0.0073479709038561485	-0.007347970903856089
Cytoplasm_Correlation_K_CorrDNA_CorrRNA	0.012111492360563969	-0.00018458406570328098	-0.008474585409928846	0.008474585409928776
Cytoplasm_Correlation_K_CorrER_CorrDNA	0.03558172888433542	0.0005577218274713123	0.05021984363597787	-0.050219843635977465
Cytoplasm_Correlation_K_CorrER_CorrGasdermin	0.027587539661936278	0.00031409821571294774	-0.003549936208438891	0.003549936208438862
Cytoplasm_Correlation_K_CorrER_CorrMito	0.03315954014702038	0.0005423144213783166	-0.020634824426925106	0.02063482442692494
Cytoplasm_Correlation_K_CorrER_CorrPM	0.2278261146140993	0.001854165537502501	0.19282993293711553	-0.19282993293711395
Cytoplasm_Correlation_K_CorrER_CorrRNA	0.1941683514859316	0.0015655300044625346	0.2500458267852164	-0.25004582678521436
Cytoplasm_Correlation_K_CorrGasdermin_CorrDNA	0.004511974586803524	-7.217583376768305e-05	0.08650559376273115	-0.08650559376273044
Cytoplasm_Correlation_K_CorrGasdermin_CorrER	0.08451332867933592	-0.0006947304225133098	-0.001257964764815106	0.0012579647648150959
Cytoplasm_Correlation_K_CorrGasdermin_CorrMito	0.06049067093680227	0.000801901085800597	-0.09409953748284286	0.09409953748284208
