feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	LPS_10µg_per_ml
Cytoplasm_AreaShape_MeanRadius	0.0057756620966326055	-0.0004474414421622473	0.01397868442300539	-0.013978684423005249
Cytoplasm_AreaShape_MedianRadius	0.006185522829583512	-0.0004621858670575196	0.016073455619680557	-0.016073455619680394
Cytoplasm_AreaShape_MinFeretDiameter	0.006575419104565605	-0.0004650417281995419	-0.0032482282168922504	0.0032482282168922174
Cytoplasm_AreaShape_MinorAxisLength	0.005736668127432787	-0.00042488353920184515	-0.004740102081145467	0.004740102081145419
Cytoplasm_AreaShape_Orientation	1.8305012832731116e-05	6.735534822278739e-06	0.003820590174577064	-0.0038205901745770256
Cytoplasm_AreaShape_Perimeter	0.006308463895017602	-0.0004573690499829809	-0.006868110724155611	0.006868110724155542
Cytoplasm_AreaShape_Solidity	0.002414926734984335	-3.0727231805304524e-05	0.05626367418620404	-0.05626367418620346
Cytoplasm_AreaShape_Zernike_0_0	0.001297989947575684	7.453103570117897e-05	0.031863186989639386	-0.03186318698963907
Cytoplasm_AreaShape_Zernike_1_1	0.0006090924430263156	8.100034015058309e-05	0.016526769664538452	-0.016526769664538282
Cytoplasm_AreaShape_Zernike_2_0	0.0025642566346371076	-0.0002777862004965486	0.02626612584214224	-0.02626612584214197
Cytoplasm_AreaShape_Zernike_2_2	0.0007951446722576083	0.00012169278976877266	0.01252809135254684	-0.012528091352546712
Cytoplasm_AreaShape_Zernike_3_1	0.001036606808071272	0.00012595347729086855	0.016978137867858373	-0.016978137867858203
Cytoplasm_AreaShape_Zernike_3_3	0.000782641187665245	0.00014262251382258882	0.004711228402903167	-0.0047112284029031185
Cytoplasm_AreaShape_Zernike_4_0	0.0031281581262352365	0.0002908602297930116	0.007021367972835516	-0.007021367972835444
Cytoplasm_AreaShape_Zernike_4_2	0.000267241671577656	-1.8783441517447053e-05	0.016891468400796666	-0.016891468400796496
Cytoplasm_AreaShape_Zernike_4_4	0.0007168433632306348	0.00010863656437153072	0.013756376243214869	-0.01375637624321473
Cytoplasm_AreaShape_Zernike_5_1	0.002897381466550164	0.00023891547086978958	0.022029121956070978	-0.022029121956070756
Cytoplasm_AreaShape_Zernike_5_3	0.0004657266253547121	0.00010996555529449621	0.004117174967494462	-0.00411717496749442
Cytoplasm_AreaShape_Zernike_5_5	0.0006007906186096257	0.0001299474606513255	0.001721322108698577	-0.0017213221086985594
Cytoplasm_AreaShape_Zernike_6_0	0.001275783756129134	0.00013764006776408806	0.01934516867903557	-0.019345168679035372
Cytoplasm_AreaShape_Zernike_6_2	0.0016145632647517338	0.000183661427173137	0.014791639525790028	-0.014791639525789877
Cytoplasm_AreaShape_Zernike_6_4	1.9893177269358908e-05	-3.814929766737011e-06	0.004560005873182574	-0.004560005873182527
Cytoplasm_AreaShape_Zernike_6_6	0.0009765824230461018	0.00014885423402647089	0.009940646469525794	-0.009940646469525694
Cytoplasm_AreaShape_Zernike_7_1	0.0011824969639960825	0.00015463033267105398	0.013541355885748778	-0.013541355885748639
Cytoplasm_AreaShape_Zernike_7_3	0.0007875161724892887	0.00014242408337849423	0.0051641655936642385	-0.0051641655936641865
Cytoplasm_AreaShape_Zernike_7_5	0.000187881652958799	6.461554360906014e-05	0.004625689481498939	-0.0046256894814988925
