feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Flagellin_0.1µg_per_ml
Cytoplasm_AreaShape_Zernike_0_0	0.002009529308068081	0.00030815201297512647	-0.0037801375186364257	0.0037801375186364452
Cytoplasm_AreaShape_Zernike_1_1	3.3826094404387774e-06	1.040244971284045e-05	0.0007552669490083126	-0.0007552669490083166
Cytoplasm_AreaShape_Zernike_2_0	0.0006635419658951314	0.00015390704711612172	0.008753605255759331	-0.008753605255759377
Cytoplasm_AreaShape_Zernike_2_2	0.0006132246377434925	0.00016801620264097082	-0.00405309333420293	0.004053093334202951
Cytoplasm_AreaShape_Zernike_3_1	0.0001000854844264154	-3.666978087178459e-05	-0.007437041963327409	0.0074370419633274475
Cytoplasm_AreaShape_Zernike_3_3	0.00025436496357322813	0.00010681036312528512	-0.00017967096828116428	0.00017967096828116523
Cytoplasm_AreaShape_Zernike_4_0	0.0003364518070365641	9.031496221843602e-05	-0.015158312616949565	0.015158312616949644
Cytoplasm_AreaShape_Zernike_4_2	0.00045709062472876205	0.00013688417518104346	0.00368343897934031	-0.0036834389793403296
Cytoplasm_AreaShape_Zernike_4_4	0.0003688522953116946	0.00011451027293813826	0.006297872243631411	-0.006297872243631444
Cytoplasm_AreaShape_Zernike_5_1	0.0015397336816818097	0.0002667629898932403	-0.007326152121648891	0.007326152121648929
Cytoplasm_AreaShape_Zernike_5_3	4.7692186154413285e-05	4.6662613688826185e-05	-0.0006839023312696948	0.0006839023312696984
Cytoplasm_AreaShape_Zernike_5_5	0.0001336115386120218	7.876519439646325e-05	-0.002585656321690027	0.002585656321690041
Cytoplasm_AreaShape_Zernike_6_0	0.0007096052689329335	0.0001714434576228288	-0.013540592231655976	0.013540592231656049
Cytoplasm_AreaShape_Zernike_6_2	0.0002923730672301783	0.00011169734382257588	0.0018987901307290734	-0.0018987901307290832
Cytoplasm_AreaShape_Zernike_6_4	0.0006037796830036246	0.00015049108937215344	0.006726055934224198	-0.006726055934224233
Cytoplasm_AreaShape_Zernike_6_6	3.526110343110567e-05	3.904884215527491e-05	-0.0026125282772996783	0.0026125282772996917
Cytoplasm_AreaShape_Zernike_7_1	0.0011615871067920391	0.00021877988726889147	0.005460758813695909	-0.0054607588136959375
Cytoplasm_AreaShape_Zernike_7_3	0.00022489769720368535	9.113785402701103e-05	0.004498363441579875	-0.004498363441579899
Cytoplasm_AreaShape_Zernike_7_5	0.00011628447607459069	6.806513509217321e-05	0.002430557087994878	-0.0024305570879948907
Cytoplasm_AreaShape_Zernike_7_7	9.435597829865472e-05	6.0620279771591486e-05	-0.005433778729338343	0.005433778729338372
Cytoplasm_AreaShape_Zernike_8_0	0.0005725289751015161	0.0001594296346096891	0.00038046678014090943	-0.00038046678014091144
Cytoplasm_AreaShape_Zernike_8_2	0.00036382881583707505	0.00012908346184486763	-0.0012337703024875915	0.001233770302487598
Cytoplasm_AreaShape_Zernike_8_4	5.5794391518149133e-05	5.0359883273752496e-05	-0.001611136047448258	0.0016111360474482664
Cytoplasm_AreaShape_Zernike_8_6	7.416326214038094e-06	4.9498690088366086e-06	-0.002738328590147663	0.002738328590147677
Cytoplasm_AreaShape_Zernike_8_8	0.00011543815636039234	7.284461249130932e-05	-0.001774359925633163	0.0017743599256331726
Cytoplasm_AreaShape_Zernike_9_1	0.0003912676810722271	0.00013077916555941633	0.00157450861805091	-0.0015745086180509182
Cytoplasm_AreaShape_Zernike_9_3	0.00014610906416112623	6.78635114196017e-05	-0.008810323707699892	0.008810323707699939
Cytoplasm_AreaShape_Zernike_9_5	7.072883895520299e-05	5.2364261144238106e-05	0.002071065148936042	-0.002071065148936053
Cytoplasm_AreaShape_Zernike_9_7	8.911373344344664e-05	4.245652264899713e-05	-0.008220251259592736	0.00822025125959278
Cytoplasm_AreaShape_Zernike_9_9	6.452990267480363e-05	3.367152947567929e-05	-0.007304876302398056	0.0073048763023980945
