feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Flagellin_1µg_per_ml
Cytoplasm_Correlation_K_CorrDNA_CorrPM	0.000758491204374212	-8.237996035642038e-05	-0.03566454735275375	0.03566454735275365
Cytoplasm_Correlation_K_CorrDNA_CorrRNA	0.0002702994313258378	-5.814285441171671e-05	-0.0035236761559493505	0.00352367615594934
Cytoplasm_Correlation_K_CorrER_CorrDNA	0.0014293682438034638	0.0002844219731807734	0.004182295102037652	-0.0041822951020376396
Cytoplasm_Correlation_K_CorrER_CorrGasdermin	0.00439293753516834	0.00024598100305337384	0.0186153873047661	-0.018615387304766043
Cytoplasm_Correlation_K_CorrER_CorrMito	0.007005585095387512	0.0004385053199840956	0.035419875956338255	-0.03541987595633815
Cytoplasm_Correlation_K_CorrER_CorrPM	0.0024795680103419926	0.0006004114639248824	-0.05853828281460746	0.05853828281460729
Cytoplasm_Correlation_K_CorrER_CorrRNA	0.003912663176025899	0.00034018484301535126	-0.06917241768857427	0.06917241768857407
Cytoplasm_Correlation_K_CorrGasdermin_CorrDNA	0.00254449852444949	-0.00026911279164550426	-0.042493775542943264	0.042493775542943146
Cytoplasm_Correlation_K_CorrGasdermin_CorrER	0.006462370570903486	-0.00037693388099930934	-0.030459068859409195	0.03045906885940911
Cytoplasm_Correlation_K_CorrGasdermin_CorrMito	0.007197283777153118	0.0003051413716785622	0.06604621504092936	-0.06604621504092918
Cytoplasm_Correlation_K_CorrGasdermin_CorrPM	0.01489465188952721	-0.0007317948523204135	-0.13011150716743103	0.13011150716743067
Cytoplasm_Correlation_K_CorrGasdermin_CorrRNA	0.016244848723521388	-0.0006308066240006408	-0.071003661252486	0.0710036612524858
Cytoplasm_Correlation_K_CorrMito_CorrDNA	0.0029356903777285615	-0.00027792302102299955	-0.04683118828514493	0.0468311882851448
Cytoplasm_Correlation_K_CorrMito_CorrER	0.003272089006506884	-0.00024826767763090515	-0.022096543792554334	0.022096543792554272
Cytoplasm_Correlation_K_CorrMito_CorrGasdermin	0.0014899841823583504	-0.00011500400932368593	-0.019527277852422677	0.019527277852422625
Cytoplasm_Correlation_K_CorrMito_CorrPM	0.016900211394948683	-0.0007371005758592301	-0.1342360112546826	0.1342360112546822
Cytoplasm_Correlation_K_CorrMito_CorrRNA	0.006541049097879004	-0.0003279077956688917	-0.03804519524301555	0.038045195243015445
Cytoplasm_Correlation_K_CorrPM_CorrDNA	0.0007629908543256292	0.00015048315734028083	0.02140988716490205	-0.02140988716490199
Cytoplasm_Correlation_K_CorrPM_CorrER	0.0008523099024959624	-0.00011015750320731575	0.012354109728332483	-0.012354109728332448
Cytoplasm_Correlation_K_CorrPM_CorrGasdermin	0.007711392693694474	0.00036805927947710575	0.05261074039713219	-0.052610740397132046
Cytoplasm_Correlation_K_CorrPM_CorrMito	0.010921977210760936	0.0005572854364672519	0.07771435402592893	-0.07771435402592872
Cytoplasm_Correlation_K_CorrPM_CorrRNA	0.001181056681466064	-0.000148536230156519	0.008628538953035558	-0.008628538953035532
Cytoplasm_Correlation_K_CorrRNA_CorrDNA	0.0013401519016269514	0.0002585133419680185	0.016202204101611634	-0.01620220410161159
Cytoplasm_Correlation_K_CorrRNA_CorrER	0.004211780841267054	-0.00021230400610181826	0.052213299612280384	-0.052213299612280245
Cytoplasm_Correlation_K_CorrRNA_CorrGasdermin	0.007053755095923986	0.0002918947256115516	0.029042646051797787	-0.029042646051797707
Cytoplasm_Correlation_K_CorrRNA_CorrMito	0.012411859539248837	0.0006062459576028184	0.06181798999874179	-0.06181798999874161
Cytoplasm_Correlation_K_CorrRNA_CorrPM	0.005785286356785213	0.000534525708232069	-0.023026124201167557	0.023026124201167494
Cytoplasm_Correlation_Manders_CorrDNA_CorrER	3.502864278659423e-05	-3.150004132220057e-05	0.0026792325136394	-0.0026792325136393924
Cytoplasm_Correlation_Manders_CorrDNA_CorrGasdermin	2.670206679777909e-05	-3.0060883175271228e-05	0.001008033006987529	-0.0010080330069875262
Cytoplasm_Correlation_Manders_CorrDNA_CorrMito	0.00020840010898148797	-9.467937598375438e-05	0.0002824301231857067	-0.0002824301231857059
Cytoplasm_Correlation_Manders_CorrDNA_CorrPM	0.0002052570845317847	7.169488096265307e-05	0.01517816632197666	-0.015178166321976619
Cytoplasm_Correlation_Manders_CorrDNA_CorrRNA	2.8057348605892152e-05	-9.594388789615292e-06	0.0038825051899938423	-0.0038825051899938306
Cytoplasm_Correlation_Manders_CorrER_CorrDNA	0.0011682719321276513	-0.00012151062535547832	-0.03210191194256378	0.03210191194256369
Cytoplasm_Correlation_Manders_CorrER_CorrGasdermin	0.00011549151805367863	-2.764234998535314e-05	-0.008450570786223929	0.008450570786223905
Cytoplasm_Correlation_Manders_CorrER_CorrMito	0.00032332431421844277	-8.55849483786594e-05	-0.01165862150387285	0.011658621503872818
Cytoplasm_Correlation_Manders_CorrER_CorrPM	0.0002477776178407831	7.844242024625418e-05	0.015215706079374301	-0.01521570607937426
Cytoplasm_Correlation_Manders_CorrER_CorrRNA	0.00011252237265702014	8.1894764569974e-05	0.007390122268856094	-0.007390122268856073
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrDNA	0.0008499268623239908	-0.0001097077212593435	-0.026958006605165112	0.026958006605165036
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrER	0.0002722664767019767	5.4673000829070594e-05	0.013365166304924268	-0.013365166304924228
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrMito	1.1927025896585342e-05	6.5425740981177745e-06	-0.0029882466722911914	0.0029882466722911836
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrPM	0.000334645921222676	0.0001170527773105271	0.01836079102625149	-0.018360791026251433
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrRNA	0.0008904819796463626	0.00010999035925985157	0.02065213991205579	-0.020652139912055733
Cytoplasm_Correlation_Manders_CorrMito_CorrDNA	0.000830487451582762	-0.00011336356048824043	-0.026444965113440383	0.026444965113440303
Cytoplasm_Correlation_Manders_CorrMito_CorrER	0.0002423238839931452	3.6013851973173734e-05	0.01345477023303623	-0.01345477023303619
Cytoplasm_Correlation_Manders_CorrMito_CorrGasdermin	4.335463427962427e-05	3.860765107985233e-05	-0.0010156819596297004	0.0010156819596296976
Cytoplasm_Correlation_Manders_CorrMito_CorrPM	0.00028719290664125374	0.00010006393500745722	0.016100943432862065	-0.01610094343286202
Cytoplasm_Correlation_Manders_CorrMito_CorrRNA	0.0008416436505708225	0.00010172661870633274	0.020821903347239174	-0.02082190334723911
Cytoplasm_Correlation_Manders_CorrPM_CorrDNA	0.0011126168698200045	-0.00015110797457369287	-0.02945832306889068	0.029458323068890596
Cytoplasm_Correlation_Manders_CorrPM_CorrER	0.00026579418439254265	1.6380452025268144e-05	0.015080893157842154	-0.01508089315784211
Cytoplasm_Correlation_Manders_CorrPM_CorrGasdermin	0.0001537963052714586	-7.530578824530086e-05	-0.005776756661432826	0.005776756661432808
Cytoplasm_Correlation_Manders_CorrPM_CorrMito	0.0002869888010110788	-0.00011283167881665835	-0.006402776748678625	0.006402776748678607
Cytoplasm_Correlation_Manders_CorrPM_CorrRNA	0.0006806169162695275	0.00010693929271738829	0.018975786346532256	-0.018975786346532204
