oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_Z-VAD-FMK_30.0,Disulfiram_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,Flagellin_0.100_DMSO_0.025,Flagellin_1.000_DMSO_0.025,Flagellin_1.000_Disulfiram_1.0,H2O2_100.000_DMSO_0.025,H2O2_100.000_Disulfiram_1.0,H2O2_100.000_Z-VAD-FMK_100.0,LPS_0.010_DMSO_0.025,LPS_0.100_DMSO_0.025,LPS_1.000_DMSO_0.025,LPS_10.000_DMSO_0.025,LPS_10.000_Disulfiram_0.1,LPS_10.000_Disulfiram_1.0,LPS_10.000_Disulfiram_2.5,LPS_10.000_Z-VAD-FMK_100.0,LPS_100.000_DMSO_0.025,LPS_Nigericin_1.000_1.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.000_3.0_DMSO_0.025,LPS_Nigericin_100.000_1.0_DMSO_0.025,LPS_Nigericin_100.000_10.0_DMSO_0.025,LPS_Nigericin_100.000_3.0_DMSO_0.025,Thapsigargin_1.000_DMSO_0.025,Thapsigargin_10.000_DMSO_0.025,Topotecan_10.000_DMSO_0.025,Topotecan_20.000_DMSO_0.025,Topotecan_5.000_DMSO_0.025,media ctr_0_Media ctr_0.0
H2O2_100.000_DMSO_0.025,0.9820945049939477,0.9851506142247458,0.9802465865673582,0.9824739383947966,0.9828563431926869,0.9481134824670726,0.964953387453005,0.9708438075040012,0.9683692822387976,0.9360969966743595,1.0,0.959122606788092,0.9741168354247436,0.9834902363886221,0.976391227366807,0.9651127807234076,0.9623089623799894,0.952939567939714,0.9503811730792389,0.9475345776402334,0.9700465524598065,0.9546004186951174,0.9575605965401949,0.9558902820500738,0.9361348948991727,0.9334231529369805,0.9510766539484831,0.950971942520364,0.9352143063413055,0.9520487993075399,0.9682790722496486,0.9441995709857673,0.9784534464592833,0.9761793264080776,0.9773523712709044,0.985478599797957
H2O2_100.000_Disulfiram_1.0,0.937871037393382,0.9394242230235473,0.9185130325947979,0.9359027929929196,0.9540244057352181,0.9521016584399874,0.9497613467142573,0.9455127384769423,0.9367975401211884,0.9407693480544769,0.959122606788092,1.0,0.912991814552154,0.9409273264990494,0.9448610848149746,0.9406448086290123,0.9414725105152364,0.9386015111405959,0.9495353105929087,0.9497074376759929,0.9206818106659103,0.947110984222957,0.9447019806331197,0.9584594709571631,0.9590118795700292,0.8681177530680061,0.9645392550628246,0.9498218398548054,0.96324152729324,0.9468057187620569,0.9064900997570403,0.8879699131983428,0.9475752609028467,0.9419008721705465,0.9447934865087501,0.9460175168266929
H2O2_100.000_Z-VAD-FMK_100.0,0.9627722708282516,0.9709998554191795,0.9829444468289991,0.971824152809703,0.965170865878948,0.9216884515684625,0.9446900784929906,0.95158530401274,0.9491574397435723,0.9189316952272466,0.9741168354247436,0.912991814552154,1.0,0.9708569849522902,0.955837557560015,0.9470539089463729,0.9416638992896106,0.9321370771636563,0.924970221573406,0.9259463399204332,0.9723301663621997,0.9280754050665315,0.9346651404792996,0.9270098393857173,0.8926520033212852,0.9533139272226503,0.9124138742810848,0.9297835427445159,0.8916052985460055,0.9255346339668619,0.9683926585169431,0.9504294756456545,0.9559672514699806,0.9583365690730882,0.9563431120676568,0.9674645711217885
LPS_0.010_DMSO_0.025,0.9921267582503971,0.9883479122419822,0.9864865712689908,0.9919050920130124,0.988206924494359,0.9556661927394983,0.9742013508217051,0.9757077199380008,0.9755405306387848,0.9406556858743488,0.9834902363886221,0.9409273264990494,0.9708569849522902,1.0,0.985534001515017,0.9746656428278951,0.9690006313784194,0.9586236256974966,0.9532714605598643,0.9515964439126917,0.9738849601280963,0.9608923407640366,0.954621610927661,0.9533285970998208,0.9282656676561222,0.9323545747116908,0.9476556136322324,0.9558690778303237,0.9295397042630674,0.949437372932,0.9580147741061399,0.929353753198541,0.9894928470934181,0.9855430725539046,0.9896449490480618,0.9921151106384796
LPS_0.100_DMSO_0.025,0.9872923166257622,0.9816456908498339,0.9743989517350503,0.9838194155978702,0.9845863445182442,0.9621638023619117,0.9750291507346096,0.9907421034921342,0.9918776470594818,0.9618637349962882,0.976391227366807,0.9448610848149746,0.955837557560015,0.985534001515017,1.0,0.9934853484411028,0.9916694015096148,0.9845957695280133,0.9800568239359325,0.9769943583858478,0.9835418305018777,0.9824157621876524,0.9710915939924329,0.9649916708701947,0.9319483917530386,0.9184313428549715,0.9613984135255047,0.9725033605842253,0.9476740524466296,0.9686288445183598,0.9433986098827215,0.9191051412618841,0.9866825424386219,0.9832003107667028,0.9867659441785439,0.9853218940529425
LPS_1.000_DMSO_0.025,0.9733562876874878,0.9681917859248189,0.9621988422163219,0.9722332610472354,0.9764059001682508,0.9576106838542945,0.9673563945050376,0.9937719331208845,0.9933507992817397,0.9735516580571371,0.9651127807234076,0.9406448086290123,0.9470539089463729,0.9746656428278951,0.9934853484411028,1.0,0.9956177325038857,0.9925525345866376,0.9842391317348949,0.9854245401876921,0.9826792597585773,0.9892981211667955,0.9752533980424365,0.9683344890628452,0.9275892692685623,0.9160070024052119,0.9634535017996384,0.9809509667363419,0.9522152872261639,0.9733246141377442,0.9351448681215478,0.9182214193035784,0.9770886196261235,0.9727342763052228,0.9769565051645508,0.9731112050023684
LPS_10.000_DMSO_0.025,0.9708939477108403,0.9665144401510379,0.9572547469284329,0.9675211955979696,0.9736825799354932,0.9590268445099073,0.9686084593735305,0.9929737758565318,0.9930726069481635,0.9743258143900447,0.9623089623799894,0.9414725105152364,0.9416638992896106,0.9690006313784194,0.9916694015096148,0.9956177325038857,1.0,0.9932698193223485,0.9862814432180733,0.9861765921212018,0.9786078582445616,0.9903866188048065,0.9755897403335305,0.9679444195742132,0.9275443364788809,0.9068482998287775,0.9643065155189132,0.9814601742832703,0.9546397126260077,0.9738858259378355,0.9293769924709934,0.9121620323534282,0.9745695825122145,0.9711961183746094,0.9762010888349152,0.9711272295411417
LPS_10.000_Disulfiram_0.1,0.9588292052398716,0.9518520683159378,0.944700934573974,0.9553680316406337,0.9658914315053365,0.9481772204022666,0.9583731721371979,0.9890064036564191,0.9881138606749769,0.9729787754953473,0.952939567939714,0.9386015111405959,0.9321370771636563,0.9586236256974966,0.9845957695280133,0.9925525345866376,0.9932698193223485,1.0,0.9859955180239074,0.9888347596723842,0.9747197912448604,0.9892561629999206,0.9721707723657385,0.970108501387143,0.9240900242878791,0.9075648762216907,0.9676593371227615,0.9802383163661853,0.9545905537720513,0.9735851031283974,0.9262390009570762,0.9114211546470604,0.9623561655837926,0.9581433192712996,0.9631410636861224,0.9579045423584104
LPS_10.000_Disulfiram_1.0,0.95702060272619,0.9525343267732151,0.9372032014212036,0.951628744419605,0.9658774741940448,0.9708152139914684,0.967744509497568,0.9788573852991729,0.9769619396505658,0.985067834918909,0.9503811730792389,0.9495353105929087,0.924970221573406,0.9532714605598643,0.9800568239359325,0.9842391317348949,0.9862814432180733,0.9859955180239074,1.0,0.9938297056472953,0.9608893583568883,0.9766084245663302,0.9653845411810139,0.9560333613983091,0.9338016956035993,0.8757403367935586,0.9558328131788096,0.9736044521876769,0.9506008088625898,0.9657370309798733,0.9101676450092671,0.894792903949791,0.9615062191621917,0.9603265716151282,0.9595205440016791,0.9564372512189412
LPS_10.000_Disulfiram_2.5,0.9496654352638483,0.946653177143603,0.9341406625980976,0.9474760542370094,0.9629987885360923,0.9624786612759788,0.9604237003626975,0.9815956721844031,0.976797903049205,0.9883507442661507,0.9475345776402334,0.9497074376759929,0.9259463399204332,0.9515964439126917,0.9769943583858478,0.9854245401876921,0.9861765921212018,0.9888347596723842,0.9938297056472953,1.0,0.9629276385367072,0.9800162977011384,0.9654508182957686,0.9609589071637321,0.9307730400788906,0.885115931785145,0.9593640240581259,0.9789859459374189,0.9540788864983368,0.9655457801722842,0.9143333691576736,0.9010665656410783,0.9567652632013776,0.9530313338529114,0.9554820896490543,0.9509419325287475
LPS_10.000_Z-VAD-FMK_100.0,0.972633419561061,0.9717769896470136,0.9798911511472631,0.9757107032081552,0.9690021384303967,0.9276522646415682,0.9495521052091062,0.9826766417657917,0.9819103331711008,0.9468180953473707,0.9700465524598065,0.9206818106659103,0.9723301663621997,0.9738849601280963,0.9835418305018777,0.9826792597585773,0.9786078582445616,0.9747197912448604,0.9608893583568883,0.9629276385367072,1.0,0.9703330450091072,0.964844660784115,0.9577655119532491,0.9092783729543622,0.9527440794033725,0.94642037294765,0.9633250433749541,0.9285171985257548,0.9614914186585148,0.9566519664174666,0.9423187714349553,0.9662914876797523,0.9641441696387015,0.9669452780293093,0.9705129292742843
LPS_100.000_DMSO_0.025,0.96146487340232,0.95545719090908,0.9467023801748203,0.9595829763791008,0.9658142429474288,0.9467516241443282,0.9588941650071033,0.9873008092001545,0.987118531446728,0.9654800730920168,0.9546004186951174,0.947110984222957,0.9280754050665315,0.9608923407640366,0.9824157621876524,0.9892981211667955,0.9903866188048065,0.9892561629999206,0.9766084245663302,0.9800162977011384,0.9703330450091072,1.0,0.9769316170256608,0.978463955623829,0.9366604834272457,0.9094019798259408,0.9750946352557797,0.9872535618158059,0.9703365731789896,0.9827722763464025,0.9226133438029486,0.9107356601999439,0.9674197109550283,0.9617509942592732,0.9699816781796,0.9631142379737416
LPS_Nigericin_1.000_1.0_DMSO_0.025,0.9554388859588429,0.9523307892935475,0.944961654752995,0.9527680166929821,0.964830246082659,0.9433724450825498,0.9567454475119904,0.9739360790135873,0.9701551833283869,0.9513176506192929,0.9575605965401949,0.9447019806331197,0.9346651404792996,0.954621610927661,0.9710915939924329,0.9752533980424365,0.9755897403335305,0.9721707723657385,0.9653845411810139,0.9654508182957686,0.964844660784115,0.9769316170256608,1.0,0.9818465625870724,0.9367007831646635,0.9223193008333015,0.9736266263729971,0.9877781773329836,0.9748109616444323,0.992787823246315,0.9157332667601306,0.9038862004808678,0.9607275485358402,0.9585478053104074,0.960202464691327,0.9584496212449728
LPS_Nigericin_1.000_10.0_DMSO_0.025,0.9510893342563871,0.9420545644143323,0.9370881156589258,0.9477462123638741,0.9571113643668708,0.9279176386104914,0.9447252261031761,0.9711071240471533,0.968244180992323,0.9428578140791359,0.9558902820500738,0.9584594709571631,0.9270098393857173,0.9533285970998208,0.9649916708701947,0.9683344890628452,0.9679444195742132,0.970108501387143,0.9560333613983091,0.9609589071637321,0.9577655119532491,0.978463955623829,0.9818465625870724,1.0,0.9581368267103808,0.9344287900389123,0.9929139809552016,0.9801818766271662,0.9824034031319184,0.984065428813836,0.922920570255786,0.9087127739553152,0.9545741164461793,0.9464190757098341,0.9568997762867872,0.9542611725100213
LPS_Nigericin_1.000_10.0_Disulfiram_1.0,0.9224911791890628,0.9197880251860042,0.9064812316466566,0.9208141353395956,0.9253865505301302,0.9188410926238794,0.9207022312101956,0.9371205131006244,0.93023797315059,0.93252074333255,0.9361348948991727,0.9590118795700292,0.8926520033212852,0.9282656676561222,0.9319483917530386,0.9275892692685623,0.9275443364788809,0.9240900242878791,0.9338016956035993,0.9307730400788906,0.9092783729543622,0.9366604834272457,0.9367007831646635,0.9581368267103808,1.0,0.8886328486070534,0.9609073889617611,0.9393087864204664,0.955349330892054,0.9385399027206455,0.897744780819255,0.8784967853231876,0.9238190619803588,0.9170075908249038,0.9262173318077863,0.9310384982595834
LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,0.918693638470231,0.9156600890480536,0.9460755263175585,0.929867636049573,0.911911493840298,0.8359803590049892,0.8758637193360658,0.9261111445391992,0.9258668494112251,0.8716531779844143,0.9334231529369805,0.8681177530680061,0.9533139272226503,0.9323545747116908,0.9184313428549715,0.9160070024052119,0.9068482998287775,0.9075648762216907,0.8757403367935586,0.885115931785145,0.9527440794033725,0.9094019798259408,0.9223193008333015,0.9344287900389123,0.8886328486070534,1.0,0.9132495547280249,0.9130355424304339,0.8835304507015614,0.9150402603188431,0.9465081649646113,0.9353721292693667,0.9058784846561364,0.9028273666693925,0.911537293321663,0.9223814972792199
