group1,group2,meandiff,lower,upper,reject,p-adj,cytokine,group,-log10(p-adj),significant,apoptotic,pyroptotic,apoptotic_vs_pyroptotic,consensus
apoptosis,healthy,-0.0018,-0.2553,0.2516,False,0.9995,BCMA (TNFRSF17) [NSU],apoptosis_healthy,0.0002172015458642,False,False,False,False,none
apoptosis,pyroptosis,-0.0994,-0.3532,0.1544,False,0.2593,BCMA (TNFRSF17) [NSU],apoptosis_pyroptosis,0.5861974832306486,False,False,False,False,none
healthy,pyroptosis,-0.0976,-0.2104,0.0151,False,0.0019,BCMA (TNFRSF17) [NSU],healthy_pyroptosis,2.721246399047171,True,False,True,False,pyroptotic
apoptosis,healthy,0.0527,-0.1958,0.3013,False,0.6704,BDNF [NSU],apoptosis_healthy,0.1736659943777799,False,False,False,False,none
apoptosis,pyroptosis,0.106,-0.1429,0.3549,False,0.2035,BDNF [NSU],apoptosis_pyroptosis,0.6914355864387611,False,False,False,False,none
healthy,pyroptosis,0.0533,-0.0573,0.1638,False,0.1315,BDNF [NSU],healthy_pyroptosis,0.8810742471742232,False,False,False,False,none
apoptosis,healthy,0.0426,-0.2058,0.291,False,0.7695,BMP2 [NSU],apoptosis_healthy,0.1137913758325025,False,False,False,False,none
apoptosis,pyroptosis,0.0273,-0.2215,0.276,False,0.8985,BMP2 [NSU],apoptosis_pyroptosis,0.0464819185550073,False,False,False,False,none
healthy,pyroptosis,-0.0154,-0.1258,0.0951,False,0.8418,BMP2 [NSU],healthy_pyroptosis,0.0747910785879964,False,False,False,False,none
apoptosis,healthy,0.0858,-0.1751,0.3468,False,0.3848,BMP3 [NSU],apoptosis_healthy,0.4147649366342246,False,False,False,False,none
apoptosis,pyroptosis,0.0659,-0.1954,0.3271,False,0.5695,BMP3 [NSU],apoptosis_pyroptosis,0.2445062715848808,False,False,False,False,none
healthy,pyroptosis,-0.02,-0.136,0.0961,False,0.7686,BMP3 [NSU],healthy_pyroptosis,0.11429961987167,False,False,False,False,none
apoptosis,healthy,0.0075,-0.2017,0.2167,False,0.9886,BMP4 [NSU],apoptosis_healthy,0.004979393875242,False,False,False,False,none
apoptosis,pyroptosis,-0.0605,-0.27,0.149,False,0.4781,BMP4 [NSU],apoptosis_pyroptosis,0.3204812563042106,False,False,False,False,none
healthy,pyroptosis,-0.068,-0.1611,0.0251,False,0.0106,BMP4 [NSU],healthy_pyroptosis,1.9746941347352296,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0775,-0.3899,0.235,False,0.5799,BMP6 [NSU],apoptosis_healthy,0.2366468912517846,False,False,False,False,none
apoptosis,pyroptosis,-0.1085,-0.4213,0.2044,False,0.3465,BMP6 [NSU],apoptosis_pyroptosis,0.4602967610521745,False,False,False,False,none
healthy,pyroptosis,-0.031,-0.17,0.108,False,0.6429,BMP6 [NSU],healthy_pyroptosis,0.1918565742385088,False,False,False,False,none
apoptosis,healthy,-0.0504,-0.3235,0.2228,False,0.7393,BMP7 [NSU],apoptosis_healthy,0.1311792938024826,False,False,False,False,none
apoptosis,pyroptosis,-0.029,-0.3026,0.2445,False,0.9047,BMP7 [NSU],apoptosis_pyroptosis,0.0434954096833024,False,False,False,False,none
healthy,pyroptosis,0.0214,-0.1001,0.1429,False,0.7598,BMP7 [NSU],healthy_pyroptosis,0.1193007107812984,False,False,False,False,none
apoptosis,healthy,0.0999,-0.1556,0.3553,False,0.2608,BMP9 [NSU],apoptosis_healthy,0.5836924129401175,False,False,False,False,none
apoptosis,pyroptosis,0.0749,-0.1809,0.3307,False,0.4685,BMP9 [NSU],apoptosis_pyroptosis,0.3292904047762029,False,False,False,False,none
healthy,pyroptosis,-0.025,-0.1386,0.0886,False,0.6513,BMP9 [NSU],healthy_pyroptosis,0.1862189218259175,False,False,False,False,none
apoptosis,healthy,-0.0162,-0.191,0.1586,False,0.9265,C5_C5a [NSU],apoptosis_healthy,0.0331545763450836,False,False,False,False,none
apoptosis,pyroptosis,-0.0581,-0.2332,0.1169,False,0.3776,C5_C5a [NSU],apoptosis_pyroptosis,0.4229680143739686,False,False,False,False,none
healthy,pyroptosis,-0.042,-0.1197,0.0358,False,0.0796,C5_C5a [NSU],healthy_pyroptosis,1.099086932262331,False,False,False,False,none
apoptosis,healthy,-0.4854,-0.6204,-0.3504,True,0.0,CCL1 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.4729,-0.6081,-0.3377,True,0.0,CCL1 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.0125,-0.0476,0.0725,False,0.6814,CCL1 [NSU],healthy_pyroptosis,0.1665978707681413,False,False,False,False,none
apoptosis,healthy,-0.0079,-0.2726,0.2567,False,0.9921,CCL11 [NSU],apoptosis_healthy,0.0034445503666347,False,False,False,False,none
apoptosis,pyroptosis,-0.0138,-0.2788,0.2512,False,0.9761,CCL11 [NSU],apoptosis_pyroptosis,0.0105056872272907,False,False,False,False,none
healthy,pyroptosis,-0.0059,-0.1236,0.1118,False,0.9779,CCL11 [NSU],healthy_pyroptosis,0.0097055538715612,False,False,False,False,none
apoptosis,healthy,-0.4044,-0.5476,-0.2612,True,0.0,CCL13 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.4119,-0.5553,-0.2685,True,0.0,CCL13 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.0075,-0.0712,0.0562,False,0.8842,CCL13 [NSU],healthy_pyroptosis,0.0534494894301448,False,False,False,False,none
apoptosis,healthy,0.0128,-0.277,0.3027,False,0.9827,CCL15 [NSU],apoptosis_healthy,0.0075790439479758,False,False,False,False,none
apoptosis,pyroptosis,0.0534,-0.2369,0.3436,False,0.7406,CCL15 [NSU],apoptosis_pyroptosis,0.1304162922865762,False,False,False,False,none
healthy,pyroptosis,0.0405,-0.0884,0.1694,False,0.4178,CCL15 [NSU],healthy_pyroptosis,0.3790315643557102,False,False,False,False,none
apoptosis,healthy,-0.019,-0.3178,0.2798,False,0.9645,CCL16 [NSU],apoptosis_healthy,0.0156977680200966,False,False,False,False,none
apoptosis,pyroptosis,0.1182,-0.181,0.4174,False,0.2534,CCL16 [NSU],apoptosis_pyroptosis,0.5961933894525775,False,False,False,False,none
healthy,pyroptosis,0.1372,0.0044,0.2701,True,0.0002,CCL16 [NSU],healthy_pyroptosis,3.6989700043360183,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0847,-0.3391,0.1698,False,0.3764,CCL17 [NSU],apoptosis_healthy,0.4243503852447807,False,False,False,False,none
apoptosis,pyroptosis,-0.0753,-0.3301,0.1795,False,0.4617,CCL17 [NSU],apoptosis_pyroptosis,0.3356401254488588,False,False,False,False,none
