group1,group2,meandiff,lower,upper,reject,p-adj,cytokine,group,-log10(p-adj),significant,apoptotic,pyroptotic,apoptotic_vs_pyroptotic,consensus
apoptosis,healthy,-0.0755,-0.3257,0.1747,False,0.4472,CXCL7 [NSU],apoptosis_healthy,0.3494982051216331,False,False,False,False,none
apoptosis,pyroptosis,0.0061,-0.2444,0.2567,False,0.9947,CXCL7 [NSU],apoptosis_pyroptosis,0.0023078820582734,False,False,False,False,none
healthy,pyroptosis,0.0816,-0.0297,0.1929,False,0.0103,CXCL7 [NSU],healthy_pyroptosis,1.987162775294828,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0901,-0.4827,0.3026,False,0.627,CXCL9 [NSU],apoptosis_healthy,0.2027324591692835,False,False,False,False,none
apoptosis,pyroptosis,0.0946,-0.2986,0.4878,False,0.5984,CXCL9 [NSU],apoptosis_pyroptosis,0.223008415143595,False,False,False,False,none
healthy,pyroptosis,0.1847,0.01,0.3593,True,0.0001,CXCL9 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0029,-0.211,0.2051,False,0.9982,Calbindin [NSU],apoptosis_healthy,0.0007824344698964,False,False,False,False,none
apoptosis,pyroptosis,-0.1382,-0.3466,0.0701,False,0.0229,Calbindin [NSU],apoptosis_pyroptosis,1.640164517660112,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.1353,-0.2278,-0.0428,True,0.0,Calbindin [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.152,-0.1175,0.4216,False,0.0635,Cytochrome C [NSU],apoptosis_healthy,1.1972262747080245,False,False,False,False,none
apoptosis,pyroptosis,0.189,-0.0809,0.4589,False,0.0151,Cytochrome C [NSU],apoptosis_pyroptosis,1.8210230527068303,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.037,-0.0829,0.1569,False,0.4314,Cytochrome C [NSU],healthy_pyroptosis,0.3651198592334738,False,False,False,False,none
apoptosis,healthy,-0.0234,-0.318,0.2712,False,0.9455,EGF [NSU],apoptosis_healthy,0.0243384668189414,False,False,False,False,none
apoptosis,pyroptosis,-0.0257,-0.3208,0.2693,False,0.9344,EGF [NSU],apoptosis_pyroptosis,0.0294671702316757,False,False,False,False,none
healthy,pyroptosis,-0.0024,-0.1334,0.1287,False,0.9971,EGF [NSU],healthy_pyroptosis,0.0012612837441822,False,False,False,False,none
apoptosis,healthy,0.0552,-0.1746,0.2849,False,0.5998,EGFR [NSU],apoptosis_healthy,0.2219935385764916,False,False,False,False,none
apoptosis,pyroptosis,0.0009,-0.2291,0.231,False,0.9999,EGFR [NSU],apoptosis_pyroptosis,4.34316198075056e-05,False,False,False,False,none
healthy,pyroptosis,-0.0542,-0.1564,0.0479,False,0.0864,EGFR [NSU],healthy_pyroptosis,1.0634862575211068,False,False,False,False,none
apoptosis,healthy,0.1599,-0.1948,0.5147,False,0.1688,EMMPRIN [NSU],apoptosis_healthy,0.7726275577103637,False,False,False,False,none
apoptosis,pyroptosis,0.4827,0.1275,0.838,True,0.0,EMMPRIN [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.3228,0.165,0.4806,True,0.0,EMMPRIN [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.136,-0.3732,0.1012,False,0.058,FAS-L [NSU],apoptosis_healthy,1.2365720064370629,False,False,False,False,none
apoptosis,pyroptosis,-0.1882,-0.4257,0.0493,False,0.0049,FAS-L [NSU],apoptosis_pyroptosis,2.309803919971486,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.0523,-0.1577,0.0532,False,0.1177,FAS-L [NSU],healthy_pyroptosis,0.9292235371565654,False,False,False,False,none
apoptosis,healthy,-0.0268,-0.3068,0.2532,False,0.9218,FGF-1 [NSU],apoptosis_healthy,0.0353632962114984,False,False,False,False,none
apoptosis,pyroptosis,-0.0642,-0.3446,0.2162,False,0.6279,FGF-1 [NSU],apoptosis_pyroptosis,0.202109516941651,False,False,False,False,none
healthy,pyroptosis,-0.0374,-0.162,0.0871,False,0.4497,FGF-1 [NSU],healthy_pyroptosis,0.3470771124320581,False,False,False,False,none
apoptosis,healthy,0.1404,-0.1552,0.4361,False,0.1393,FGF-19 [NSU],apoptosis_healthy,0.8560488835760365,False,False,False,False,none
apoptosis,pyroptosis,0.1869,-0.1092,0.483,False,0.0324,FGF-19 [NSU],apoptosis_pyroptosis,1.489454989793388,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.0465,-0.085,0.178,False,0.3327,FGF-19 [NSU],healthy_pyroptosis,0.4779471991311775,False,False,False,False,none
apoptosis,healthy,0.0511,-0.1892,0.2915,False,0.6692,FGF-2 [NSU],apoptosis_healthy,0.174444067709643,False,False,False,False,none
apoptosis,pyroptosis,0.1093,-0.1314,0.35,False,0.1645,FGF-2 [NSU],apoptosis_pyroptosis,0.7838340977140069,False,False,False,False,none
healthy,pyroptosis,0.0582,-0.0487,0.1651,False,0.0765,FGF-2 [NSU],healthy_pyroptosis,1.1163385648463824,False,False,False,False,none
apoptosis,healthy,0.046,-0.2198,0.3119,False,0.766,FGF-21 [NSU],apoptosis_healthy,0.115771230367396,False,False,False,False,none
apoptosis,pyroptosis,-0.0381,-0.3043,0.2281,False,0.8335,FGF-21 [NSU],apoptosis_pyroptosis,0.0790943958359758,False,False,False,False,none
healthy,pyroptosis,-0.0841,-0.2023,0.0341,False,0.0133,FGF-21 [NSU],healthy_pyroptosis,1.8761483590329144,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0468,-0.3314,0.2377,False,0.7858,FGF-4 [NSU],apoptosis_healthy,0.1046879755242126,False,False,False,False,none
apoptosis,pyroptosis,-0.0492,-0.3341,0.2357,False,0.7672,FGF-4 [NSU],apoptosis_pyroptosis,0.1150914058373928,False,False,False,False,none
healthy,pyroptosis,-0.0023,-0.1289,0.1242,False,0.9969,FGF-4 [NSU],healthy_pyroptosis,0.0013484040016265,False,False,False,False,none
apoptosis,healthy,-0.0144,-0.3043,0.2754,False,0.9782,FGF-6 [NSU],apoptosis_healthy,0.0095723415147364,False,False,False,False,none
apoptosis,pyroptosis,-0.0105,-0.3007,0.2797,False,0.9884,FGF-6 [NSU],apoptosis_pyroptosis,0.0050672632699582,False,False,False,False,none
healthy,pyroptosis,0.0039,-0.125,0.1328,False,0.9918,FGF-6 [NSU],healthy_pyroptosis,0.0035758960449088,False,False,False,False,none
apoptosis,healthy,0.0941,-0.2014,0.3896,False,0.4084,FGF-7 (KGF) [NSU],apoptosis_healthy,0.3889142665851274,False,False,False,False,none
apoptosis,pyroptosis,0.0154,-0.2805,0.3113,False,0.9762,FGF-7 (KGF) [NSU],apoptosis_pyroptosis,0.0104611966794976,False,False,False,False,none
healthy,pyroptosis,-0.0787,-0.2102,0.0527,False,0.0452,FGF-7 (KGF) [NSU],healthy_pyroptosis,1.344861565188618,True,False,True,False,pyroptotic
apoptosis,healthy,0.0864,-0.1872,0.36,False,0.4147,FGF-9 [NSU],apoptosis_healthy,0.3822659646359821,False,False,False,False,none
apoptosis,pyroptosis,0.037,-0.237,0.311,False,0.8503,FGF-9 [NSU],apoptosis_pyroptosis,0.07042782092345,False,False,False,False,none
healthy,pyroptosis,-0.0494,-0.1711,0.0723,False,0.2355,FGF-9 [NSU],healthy_pyroptosis,0.6280090885350851,False,False,False,False,none
apoptosis,healthy,0.0606,-0.1655,0.2868,False,0.529,FGFR3 (IIIc) [NSU],apoptosis_healthy,0.2765443279648142,False,False,False,False,none
apoptosis,pyroptosis,0.0656,-0.1608,0.2921,False,0.4755,FGFR3 (IIIc) [NSU],apoptosis_pyroptosis,0.3228494787265673,False,False,False,False,none
healthy,pyroptosis,0.005,-0.0956,0.1056,False,0.9782,FGFR3 (IIIc) [NSU],healthy_pyroptosis,0.0095723415147364,False,False,False,False,none
apoptosis,healthy,-0.0692,-0.3568,0.2184,False,0.5987,FLRG (FSTL3) [NSU],apoptosis_healthy,0.2227907418543151,False,False,False,False,none
apoptosis,pyroptosis,0.0127,-0.2753,0.3007,False,0.9828,FLRG (FSTL3) [NSU],apoptosis_pyroptosis,0.0075348521919566,False,False,False,False,none
healthy,pyroptosis,0.0819,-0.046,0.2098,False,0.0294,FLRG (FSTL3) [NSU],healthy_pyroptosis,1.5316526695878427,True,False,True,False,pyroptotic
apoptosis,healthy,0.0391,-0.291,0.3691,False,0.8828,Flt-3 Ligand [NSU],apoptosis_healthy,0.0541376755103825,False,False,False,False,none
apoptosis,pyroptosis,0.1541,-0.1764,0.4847,False,0.1494,Flt-3 Ligand [NSU],apoptosis_pyroptosis,0.82564940252062,False,False,False,False,none
healthy,pyroptosis,0.1151,-0.0317,0.2619,False,0.0055,Flt-3 Ligand [NSU],healthy_pyroptosis,2.2596373105057563,True,False,True,False,pyroptotic
apoptosis,healthy,0.005,-0.3322,0.3423,False,0.998,G-CSF [NSU],apoptosis_healthy,0.0008694587126288,False,False,False,False,none
apoptosis,pyroptosis,0.4542,0.1165,0.7919,True,0.0,G-CSF [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.4491,0.2991,0.5992,True,0.0,G-CSF [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0287,-0.1696,0.2269,False,0.8301,GDF-11 (BMP-11) [NSU],apoptosis_healthy,0.0808695861393856,False,False,False,False,none
apoptosis,pyroptosis,-0.0831,-0.2816,0.1154,False,0.2146,GDF-11 (BMP-11) [NSU],apoptosis_pyroptosis,0.6683702823700677,False,False,False,False,none
healthy,pyroptosis,-0.1118,-0.2,-0.0236,True,0.0,GDF-11 (BMP-11) [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0982,-0.1046,0.3009,False,0.1292,GDF-15 (MIC-1) [NSU],apoptosis_healthy,0.8887374863409347,False,False,False,False,none
apoptosis,pyroptosis,0.0862,-0.1168,0.2893,False,0.2057,GDF-15 (MIC-1) [NSU],apoptosis_pyroptosis,0.6867657083052761,False,False,False,False,none
healthy,pyroptosis,-0.012,-0.1021,0.0782,False,0.8552,GDF-15 (MIC-1) [NSU],healthy_pyroptosis,0.0679323077992784,False,False,False,False,none
apoptosis,healthy,0.0369,-0.2131,0.287,False,0.8236,GDNF [NSU],apoptosis_healthy,0.0842836620540062,False,False,False,False,none
apoptosis,pyroptosis,0.043,-0.2074,0.2934,False,0.7694,GDNF [NSU],apoptosis_pyroptosis,0.1138478180292033,False,False,False,False,none
healthy,pyroptosis,0.0061,-0.1052,0.1173,False,0.9739,GDNF [NSU],healthy_pyroptosis,0.0114856341663338,False,False,False,False,none
apoptosis,healthy,0.0051,-0.251,0.2612,False,0.9965,GM-CSF [NSU],apoptosis_healthy,0.0015226969634935,False,False,False,False,none
apoptosis,pyroptosis,0.1206,-0.1359,0.377,False,0.1448,GM-CSF [NSU],apoptosis_pyroptosis,0.8392314381388719,False,False,False,False,none
healthy,pyroptosis,0.1155,0.0016,0.2294,True,0.0002,GM-CSF [NSU],healthy_pyroptosis,3.6989700043360183,True,False,True,False,pyroptotic
apoptosis,healthy,0.0895,-0.2131,0.392,False,0.4614,Granzyme B [NSU],apoptosis_healthy,0.3359224098149254,False,False,False,False,none
apoptosis,pyroptosis,-0.0182,-0.3211,0.2848,False,0.9685,Granzyme B [NSU],apoptosis_pyroptosis,0.0139003749448703,False,False,False,False,none
healthy,pyroptosis,-0.1076,-0.2422,0.0269,False,0.0045,Granzyme B [NSU],healthy_pyroptosis,2.3467874862246565,True,False,True,False,pyroptotic
apoptosis,healthy,0.0734,-0.1912,0.3379,False,0.5061,Growth Hormone (Somatotropin) [NSU],apoptosis_healthy,0.2957636626912123,False,False,False,False,none
apoptosis,pyroptosis,0.146,-0.1189,0.4109,False,0.0717,Growth Hormone (Somatotropin) [NSU],apoptosis_pyroptosis,1.1444808443322,False,False,False,False,none
healthy,pyroptosis,0.0726,-0.0451,0.1902,False,0.0376,Growth Hormone (Somatotropin) [NSU],healthy_pyroptosis,1.424812155072339,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0324,-0.3212,0.2564,False,0.8937,HGF [NSU],apoptosis_healthy,0.0488082420652939,False,False,False,False,none
apoptosis,pyroptosis,0.1085,-0.1807,0.3977,False,0.2896,HGF [NSU],apoptosis_pyroptosis,0.5382014424748907,False,False,False,False,none
healthy,pyroptosis,0.1409,0.0125,0.2694,True,0.0001,HGF [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0328,-0.2229,0.2885,False,0.8636,HVEM [NSU],apoptosis_healthy,0.0636873663378068,False,False,False,False,none
apoptosis,pyroptosis,0.1579,-0.0981,0.414,False,0.0376,HVEM [NSU],apoptosis_pyroptosis,1.424812155072339,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.1251,0.0114,0.2389,True,0.0001,HVEM [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0749,-0.3722,0.2224,False,0.5698,ICAM-1 [NSU],apoptosis_healthy,0.2442775550965419,False,False,False,False,none
apoptosis,pyroptosis,-0.0875,-0.3852,0.2103,False,0.4661,ICAM-1 [NSU],apoptosis_pyroptosis,0.3315208970674144,False,False,False,False,none
healthy,pyroptosis,-0.0126,-0.1448,0.1197,False,0.9226,ICAM-1 [NSU],healthy_pyroptosis,0.0349865497277521,False,False,False,False,none
apoptosis,healthy,0.0514,-0.2541,0.3568,False,0.7778,ICAM-2 [NSU],apoptosis_healthy,0.109132061188559,False,False,False,False,none
apoptosis,pyroptosis,-0.0215,-0.3274,0.2843,False,0.9567,ICAM-2 [NSU],apoptosis_pyroptosis,0.0192242260373783,False,False,False,False,none
healthy,pyroptosis,-0.0729,-0.2088,0.063,False,0.0819,ICAM-2 [NSU],healthy_pyroptosis,1.0867160982395816,False,False,False,False,none
apoptosis,healthy,-0.0692,-0.3371,0.1987,False,0.5536,IFN alpha 2 (alpha 2b) [NSU],apoptosis_healthy,0.2568039185512986,False,False,False,False,none
apoptosis,pyroptosis,-0.1353,-0.4035,0.1329,False,0.1089,IFN alpha 2 (alpha 2b) [NSU],apoptosis_pyroptosis,0.9629721202442252,False,False,False,False,none
healthy,pyroptosis,-0.0661,-0.1852,0.053,False,0.0693,IFN alpha 2 (alpha 2b) [NSU],healthy_pyroptosis,1.1592667653881934,False,False,False,False,none
apoptosis,healthy,-0.0311,-0.2759,0.2138,False,0.8665,IFN beta [NSU],apoptosis_healthy,0.0622314329500641,False,False,False,False,none
apoptosis,pyroptosis,0.1042,-0.1409,0.3494,False,0.2049,IFN beta [NSU],apoptosis_pyroptosis,0.688458041598805,False,False,False,False,none
healthy,pyroptosis,0.1353,0.0264,0.2442,True,0.0,IFN beta [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.029,-0.3196,0.3776,False,0.9404,IFN gamma [NSU],apoptosis_healthy,0.0266873795470982,False,False,False,False,none
apoptosis,pyroptosis,0.4914,0.1423,0.8404,True,0.0,IFN gamma [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.4624,0.3073,0.6175,True,0.0,IFN gamma [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0776,-0.3555,0.2003,False,0.5012,IFN-epsilon [NSU],apoptosis_healthy,0.2999889376778876,False,False,False,False,none
apoptosis,pyroptosis,-0.0418,-0.3201,0.2364,False,0.8178,IFN-epsilon [NSU],apoptosis_pyroptosis,0.0873528937816828,False,False,False,False,none
healthy,pyroptosis,0.0358,-0.0878,0.1594,False,0.4763,IFN-epsilon [NSU],healthy_pyroptosis,0.3221194184884095,False,False,False,False,none
apoptosis,healthy,-0.009,-0.2699,0.2519,False,0.9894,IGF-1 [NSU],apoptosis_healthy,0.0046280939718376,False,False,False,False,none
apoptosis,pyroptosis,-0.1114,-0.3726,0.1498,False,0.203,IGF-1 [NSU],apoptosis_pyroptosis,0.692503962086787,False,False,False,False,none
healthy,pyroptosis,-0.1024,-0.2184,0.0137,False,0.0015,IGF-1 [NSU],healthy_pyroptosis,2.8239087409443187,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0188,-0.3091,0.2715,False,0.9635,IL-1 R1 [NSU],apoptosis_healthy,0.0161482810085282,False,False,False,False,none
apoptosis,pyroptosis,-0.0784,-0.3691,0.2122,False,0.5247,IL-1 R1 [NSU],apoptosis_pyroptosis,0.280088935801661,False,False,False,False,none
healthy,pyroptosis,-0.0597,-0.1888,0.0694,False,0.1544,IL-1 R1 [NSU],healthy_pyroptosis,0.8113527040002826,False,False,False,False,none
apoptosis,healthy,-0.4575,-0.6984,-0.2165,True,0.0,IL-1 RA_RN [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.3116,-0.5529,-0.0702,True,0.0,IL-1 RA_RN [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.1459,0.0387,0.2531,True,0.0,IL-1 RA_RN [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0084,-0.1946,0.2114,False,0.9849,IL-1 alpha [NSU],apoptosis_healthy,0.0066078625509974,False,False,False,False,none
apoptosis,pyroptosis,0.7749,0.5717,0.9782,True,0.0,IL-1 alpha [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.7666,0.6763,0.8568,True,0.0,IL-1 alpha [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0028,-0.1323,0.1379,False,0.9962,IL-1 beta [NSU],apoptosis_healthy,0.0016534626036354,False,False,False,False,none
apoptosis,pyroptosis,0.8582,0.7229,0.9935,True,0.0,IL-1 beta [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.8554,0.7953,0.9155,True,0.0,IL-1 beta [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0752,-0.3441,0.1937,False,0.5003,IL-10 [NSU],apoptosis_healthy,0.3007694971165908,False,False,False,False,none
apoptosis,pyroptosis,0.0915,-0.1778,0.3607,False,0.3614,IL-10 [NSU],apoptosis_pyroptosis,0.4420118517750869,False,False,False,False,none
healthy,pyroptosis,0.1667,0.0471,0.2863,True,0.0,IL-10 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0025,-0.2857,0.2907,False,0.9993,IL-11 [NSU],apoptosis_healthy,0.0003041125891607,False,False,False,False,none
apoptosis,pyroptosis,-0.1313,-0.4199,0.1573,False,0.1633,IL-11 [NSU],apoptosis_pyroptosis,0.7870138152633318,False,False,False,False,none
healthy,pyroptosis,-0.1339,-0.262,-0.0057,True,0.0001,IL-11 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0447,-0.1971,0.2865,False,0.7379,IL-12 p35 [NSU],apoptosis_healthy,0.1320024896550488,False,False,False,False,none
apoptosis,pyroptosis,0.017,-0.2251,0.2591,False,0.957,IL-12 p35 [NSU],apoptosis_pyroptosis,0.0190880622231564,False,False,False,False,none
healthy,pyroptosis,-0.0277,-0.1353,0.0798,False,0.5551,IL-12 p35 [NSU],healthy_pyroptosis,0.2556287726681393,False,False,False,False,none
apoptosis,healthy,-0.0139,-0.353,0.3252,False,0.9852,IL-12 p40 [NSU],apoptosis_healthy,0.0064755968329344,False,False,False,False,none
apoptosis,pyroptosis,0.2759,-0.0637,0.6154,False,0.0038,IL-12 p40 [NSU],apoptosis_pyroptosis,2.42021640338319,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.2898,0.1389,0.4406,True,0.0,IL-12 p40 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0043,-0.2707,0.2621,False,0.9977,IL-12 p70 [NSU],apoptosis_healthy,0.0010000277816796,False,False,False,False,none
apoptosis,pyroptosis,-0.0308,-0.2975,0.236,False,0.8883,IL-12 p70 [NSU],apoptosis_pyroptosis,0.0514403378910384,False,False,False,False,none
healthy,pyroptosis,-0.0265,-0.145,0.092,False,0.6418,IL-12 p70 [NSU],healthy_pyroptosis,0.1926002872405147,False,False,False,False,none
apoptosis,healthy,0.0568,-0.2269,0.3406,False,0.7002,IL-15 [NSU],apoptosis_healthy,0.1547778935709861,False,False,False,False,none
apoptosis,pyroptosis,0.1201,-0.164,0.4043,False,0.2084,IL-15 [NSU],apoptosis_pyroptosis,0.6811022853725132,False,False,False,False,none
healthy,pyroptosis,0.0633,-0.0629,0.1895,False,0.1116,IL-15 [NSU],healthy_pyroptosis,0.95233580539844,False,False,False,False,none
apoptosis,healthy,0.0122,-0.2437,0.2681,False,0.98,IL-15_IL-15R alpha complex [NSU],apoptosis_healthy,0.0087739243075051,False,False,False,False,none
apoptosis,pyroptosis,-0.041,-0.2973,0.2152,False,0.7961,IL-15_IL-15R alpha complex [NSU],apoptosis_pyroptosis,0.0990323760808757,False,False,False,False,none
healthy,pyroptosis,-0.0532,-0.167,0.0606,False,0.148,IL-15_IL-15R alpha complex [NSU],healthy_pyroptosis,0.8297382846050426,False,False,False,False,none
apoptosis,healthy,0.0475,-0.2797,0.3748,False,0.8288,IL-16 [NSU],apoptosis_healthy,0.0815502575988422,False,False,False,False,none
apoptosis,pyroptosis,0.3018,-0.0259,0.6295,False,0.0009,IL-16 [NSU],apoptosis_pyroptosis,3.0457574905606752,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.2543,0.1087,0.3999,True,0.0,IL-16 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.3443,-0.4984,-0.1902,True,0.0,IL-17A [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.388,-0.5423,-0.2336,True,0.0,IL-17A [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.0437,-0.1122,0.0249,False,0.0304,IL-17A [NSU],healthy_pyroptosis,1.5171264163912463,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0153,-0.2261,0.1954,False,0.954,IL-17B [NSU],apoptosis_healthy,0.0204516252959049,False,False,False,False,none
apoptosis,pyroptosis,-0.0931,-0.3041,0.1179,False,0.1818,IL-17B [NSU],apoptosis_pyroptosis,0.7404061211140514,False,False,False,False,none
healthy,pyroptosis,-0.0778,-0.1715,0.0159,False,0.003,IL-17B [NSU],healthy_pyroptosis,2.5228787452803374,True,False,True,False,pyroptotic
apoptosis,healthy,0.0051,-0.2165,0.2267,False,0.9953,IL-17C [NSU],apoptosis_healthy,0.002045995930597,False,False,False,False,none
apoptosis,pyroptosis,-0.0314,-0.2533,0.1905,False,0.8367,IL-17C [NSU],apoptosis_pyroptosis,0.0774302310142877,False,False,False,False,none
healthy,pyroptosis,-0.0365,-0.1351,0.0621,False,0.2988,IL-17C [NSU],healthy_pyroptosis,0.5246194068566388,False,False,False,False,none
apoptosis,healthy,0.1777,-0.1094,0.4647,False,0.0368,IL-17D [NSU],apoptosis_healthy,1.4341521813264824,True,True,False,False,apoptotic
apoptosis,pyroptosis,0.092,-0.1954,0.3794,False,0.4046,IL-17D [NSU],apoptosis_pyroptosis,0.3929741215652141,False,False,False,False,none
healthy,pyroptosis,-0.0857,-0.2134,0.042,False,0.021,IL-17D [NSU],healthy_pyroptosis,1.6777807052660807,True,False,True,False,pyroptotic
apoptosis,healthy,0.0663,-0.1893,0.3218,False,0.5509,IL-17E (IL-25) [NSU],apoptosis_healthy,0.2589272276266787,False,False,False,False,none
apoptosis,pyroptosis,0.0013,-0.2546,0.2572,False,0.9998,IL-17E (IL-25) [NSU],apoptosis_pyroptosis,8.686758342857122e-05,False,False,False,False,none
healthy,pyroptosis,-0.065,-0.1786,0.0487,False,0.0591,IL-17E (IL-25) [NSU],healthy_pyroptosis,1.2284125191187447,False,False,False,False,none
apoptosis,healthy,-0.0007,-0.2637,0.2624,False,0.9999,IL-17F [NSU],apoptosis_healthy,4.34316198075056e-05,False,False,False,False,none
apoptosis,pyroptosis,0.017,-0.2464,0.2804,False,0.9636,IL-17F [NSU],apoptosis_pyroptosis,0.0161032086736942,False,False,False,False,none
healthy,pyroptosis,0.0177,-0.0993,0.1346,False,0.8166,IL-17F [NSU],healthy_pyroptosis,0.0879906244130216,False,False,False,False,none
apoptosis,healthy,-0.009,-0.1984,0.1804,False,0.98,IL-18 [NSU],apoptosis_healthy,0.0087739243075051,False,False,False,False,none
apoptosis,pyroptosis,0.4407,0.251,0.6303,True,0.0,IL-18 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.4497,0.3654,0.5339,True,0.0,IL-18 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0663,-0.3032,0.1707,False,0.5005,IL-2 RA [NSU],apoptosis_healthy,0.3005959181846626,False,False,False,False,none
apoptosis,pyroptosis,-0.0499,-0.2872,0.1873,False,0.6748,IL-2 RA [NSU],apoptosis_pyroptosis,0.1708249260829124,False,False,False,False,none
healthy,pyroptosis,0.0163,-0.0891,0.1217,False,0.8079,IL-2 RA [NSU],healthy_pyroptosis,0.0926423918688271,False,False,False,False,none
apoptosis,healthy,-0.282,-0.4415,-0.1226,True,0.0,IL-2 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.3205,-0.4801,-0.1608,True,0.0,IL-2 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.0384,-0.1093,0.0325,False,0.0784,IL-2 [NSU],healthy_pyroptosis,1.1056839373155616,False,False,False,False,none
apoptosis,healthy,-0.1826,-0.4248,0.0596,False,0.008,IL-21 [NSU],apoptosis_healthy,2.096910013008056,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.1865,-0.4291,0.056,False,0.0066,IL-21 [NSU],apoptosis_pyroptosis,2.1804560644581312,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.0039,-0.1116,0.1038,False,0.9883,IL-21 [NSU],healthy_pyroptosis,0.0051112046350893,False,False,False,False,none
apoptosis,healthy,-0.0417,-0.2998,0.2164,False,0.7927,IL-22 BP [NSU],apoptosis_healthy,0.1008911418066006,False,False,False,False,none
apoptosis,pyroptosis,0.0851,-0.1734,0.3436,False,0.3839,IL-22 BP [NSU],apoptosis_pyroptosis,0.415781887882595,False,False,False,False,none
healthy,pyroptosis,0.1268,0.012,0.2417,True,0.0001,IL-22 BP [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0868,-0.1826,0.3562,False,0.4001,IL-22 [NSU],apoptosis_healthy,0.3978314486210028,False,False,False,False,none
apoptosis,pyroptosis,0.1898,-0.08,0.4595,False,0.0146,IL-22 [NSU],apoptosis_pyroptosis,1.8356471442155629,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.103,-0.0168,0.2228,False,0.002,IL-22 [NSU],healthy_pyroptosis,2.6989700043360187,True,False,True,False,pyroptotic
apoptosis,healthy,0.0131,-0.2802,0.3064,False,0.9825,IL-23 [NSU],apoptosis_healthy,0.0076674409525356,False,False,False,False,none
