,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
101,LPS_100.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9799454828527557
102,LPS_Nigericin_1.000_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9813143661781274
103,LPS_Nigericin_1.000_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.980322675975377
104,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9824739325770896
105,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9861614678670503
106,LPS_Nigericin_1.000_3.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9812546193929153
107,LPS_Nigericin_100.000_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9807582116555781
108,LPS_Nigericin_100.000_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9808757428655347
109,LPS_Nigericin_100.000_3.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9812575015826185
110,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9830567847805053
111,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9815213380828913
112,Topotecan_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9839899429482534
113,Topotecan_20.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.982431418268663
114,Topotecan_5.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9825067111853214
115,media ctr_nan_Media ctr_nan,DMSO_0.100_Z-VAD-FMK_100.000,0.9824447150032264
116,media ctr_nan_Media_nan,DMSO_0.100_Z-VAD-FMK_100.000,0.982248581305436
117,DMSO_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.8421922912083073
118,DMSO_0.100_DMSO_1.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9845361246756973
119,DMSO_0.100_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9910119073973495
120,DMSO_0.100_Z-VAD-FMK_30.000,DMSO_0.100_Z-VAD-FMK_30.000,1.0
121,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9908261137351225
122,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9880503285973997
123,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.986440471007508
124,Flagellin_0.100_DMSO_0.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9828949003454954
125,Flagellin_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9842230984155155
126,Flagellin_1.000_DMSO_0.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9842366545082396
127,Flagellin_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9848698318159717
128,Flagellin_1.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9849956095493906
129,H2O2_100.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9868964033918164
130,H2O2_100.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_30.000,0.986714965940602
131,H2O2_100.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9867972787449251
132,LPS_0.010_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.976907389606774
133,LPS_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9800577202534082
134,LPS_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9833224612727924
135,LPS_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9838512661699085
136,LPS_10.000_Disulfiram_0.100,DMSO_0.100_Z-VAD-FMK_30.000,0.9847063043977599
137,LPS_10.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_30.000,0.984628371745109
138,LPS_10.000_Disulfiram_2.500,DMSO_0.100_Z-VAD-FMK_30.000,0.9847176313675454
139,LPS_10.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9867824561705165
140,LPS_100.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9842814645589538
141,LPS_Nigericin_1.000_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9844324908999509
142,LPS_Nigericin_1.000_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9824372126278161
143,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9856399219848542
144,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9868257798882906
145,LPS_Nigericin_1.000_3.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9835719256581682
146,LPS_Nigericin_100.000_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9850003161230079
147,LPS_Nigericin_100.000_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9843258686515186
148,LPS_Nigericin_100.000_3.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9849058805946578
149,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9880142703316961
150,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.98625252762475
151,Topotecan_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9880521590896443
152,Topotecan_20.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9863642376828391
